(nanogpt) joy@joys-MacBook-Pro: ~/Git/nanogpt master $ python train.py config/train_shakespeare_char.py --device=mps --compile=False
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = mps
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
/Users/joy/Git/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/joy/Git/nanogpt/.venv/lib/python3.10/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2639, time 64081.06ms, mfu -100.00%
iter 10: loss 3.1459, time 554.12ms, mfu 0.67%
iter 20: loss 2.7319, time 556.99ms, mfu 0.67%
iter 30: loss 2.6226, time 554.84ms, mfu 0.67%
iter 40: loss 2.5756, time 561.68ms, mfu 0.67%
iter 50: loss 2.5239, time 554.78ms, mfu 0.67%
iter 60: loss 2.5127, time 549.36ms, mfu 0.67%
iter 70: loss 2.4897, time 549.51ms, mfu 0.67%
iter 80: loss 2.4936, time 551.13ms, mfu 0.67%
iter 90: loss 2.4706, time 561.11ms, mfu 0.67%
iter 100: loss 2.4636, time 562.95ms, mfu 0.67%
iter 110: loss 2.4584, time 555.29ms, mfu 0.67%
iter 120: loss 2.4334, time 552.75ms, mfu 0.67%
iter 130: loss 2.4130, time 553.30ms, mfu 0.67%
iter 140: loss 2.4097, time 578.66ms, mfu 0.67%
iter 150: loss 2.4161, time 555.56ms, mfu 0.67%
iter 160: loss 2.3752, time 561.99ms, mfu 0.67%
iter 170: loss 2.3496, time 556.82ms, mfu 0.67%
iter 180: loss 2.3133, time 557.53ms, mfu 0.67%
iter 190: loss 2.2535, time 559.01ms, mfu 0.67%
iter 200: loss 2.2062, time 567.37ms, mfu 0.67%
iter 210: loss 2.1463, time 557.78ms, mfu 0.67%
iter 220: loss 2.1415, time 556.90ms, mfu 0.67%
iter 230: loss 2.0738, time 556.22ms, mfu 0.67%
iter 240: loss 2.0790, time 557.72ms, mfu 0.67%
step 250: train loss 1.9640, val loss 2.0677
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0308, time 60854.22ms, mfu 0.60%
iter 260: loss 1.9756, time 554.55ms, mfu 0.61%
iter 270: loss 1.9858, time 550.73ms, mfu 0.62%
iter 280: loss 1.9841, time 550.15ms, mfu 0.62%
iter 290: loss 1.9136, time 550.41ms, mfu 0.63%
iter 300: loss 1.9039, time 551.13ms, mfu 0.63%
iter 310: loss 1.8694, time 549.08ms, mfu 0.64%
iter 320: loss 1.8492, time 549.88ms, mfu 0.64%
iter 330: loss 1.8201, time 549.48ms, mfu 0.64%
iter 340: loss 1.7846, time 549.27ms, mfu 0.65%
iter 350: loss 1.8341, time 549.41ms, mfu 0.65%
iter 360: loss 1.7677, time 549.43ms, mfu 0.65%
iter 370: loss 1.7407, time 560.38ms, mfu 0.65%
iter 380: loss 1.7304, time 549.73ms, mfu 0.66%
iter 390: loss 1.7333, time 549.69ms, mfu 0.66%
iter 400: loss 1.7653, time 549.82ms, mfu 0.66%
iter 410: loss 1.6974, time 550.48ms, mfu 0.66%
iter 420: loss 1.7170, time 553.63ms, mfu 0.66%
iter 430: loss 1.6962, time 549.46ms, mfu 0.67%
iter 440: loss 1.6614, time 550.98ms, mfu 0.67%
iter 450: loss 1.6610, time 548.95ms, mfu 0.67%
iter 460: loss 1.6036, time 554.80ms, mfu 0.67%
iter 470: loss 1.6594, time 550.31ms, mfu 0.67%
iter 480: loss 1.6225, time 551.42ms, mfu 0.67%
iter 490: loss 1.6057, time 550.50ms, mfu 0.67%
step 500: train loss 1.5298, val loss 1.7337
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6015, time 61003.05ms, mfu 0.60%
iter 510: loss 1.6071, time 574.08ms, mfu 0.61%
iter 520: loss 1.5895, time 554.32ms, mfu 0.61%
iter 530: loss 1.5678, time 556.91ms, mfu 0.62%
iter 540: loss 1.6248, time 558.59ms, mfu 0.62%
iter 550: loss 1.5708, time 549.53ms, mfu 0.63%
iter 560: loss 1.5635, time 549.49ms, mfu 0.63%
iter 570: loss 1.5724, time 549.02ms, mfu 0.64%
iter 580: loss 1.5373, time 562.43ms, mfu 0.64%
iter 590: loss 1.4959, time 547.60ms, mfu 0.65%
iter 600: loss 1.5220, time 550.75ms, mfu 0.65%
iter 610: loss 1.5499, time 564.38ms, mfu 0.65%
iter 620: loss 1.5401, time 551.70ms, mfu 0.65%
iter 630: loss 1.5119, time 550.72ms, mfu 0.65%
iter 640: loss 1.4686, time 549.85ms, mfu 0.66%
iter 650: loss 1.5033, time 574.35ms, mfu 0.66%
iter 660: loss 1.5087, time 568.91ms, mfu 0.66%
iter 670: loss 1.4520, time 572.56ms, mfu 0.66%
iter 680: loss 1.5138, time 555.70ms, mfu 0.66%
iter 690: loss 1.4692, time 550.63ms, mfu 0.66%
iter 700: loss 1.4890, time 550.66ms, mfu 0.66%
iter 710: loss 1.4682, time 549.97ms, mfu 0.66%
iter 720: loss 1.4430, time 549.70ms, mfu 0.66%
iter 730: loss 1.4213, time 583.91ms, mfu 0.66%
iter 740: loss 1.4279, time 570.48ms, mfu 0.66%
step 750: train loss 1.3661, val loss 1.5927
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4277, time 60017.26ms, mfu 0.60%
iter 760: loss 1.4483, time 552.65ms, mfu 0.60%
iter 770: loss 1.4247, time 607.42ms, mfu 0.60%
iter 780: loss 1.4138, time 553.04ms, mfu 0.61%
iter 790: loss 1.4190, time 552.02ms, mfu 0.62%
iter 800: loss 1.4313, time 553.62ms, mfu 0.62%
iter 810: loss 1.4108, time 557.40ms, mfu 0.63%
iter 820: loss 1.4159, time 553.74ms, mfu 0.63%
iter 830: loss 1.3996, time 550.44ms, mfu 0.64%
iter 840: loss 1.4036, time 554.90ms, mfu 0.64%
iter 850: loss 1.4002, time 559.08ms, mfu 0.64%
iter 860: loss 1.3933, time 551.12ms, mfu 0.65%
iter 870: loss 1.3966, time 569.32ms, mfu 0.65%
iter 880: loss 1.3781, time 560.33ms, mfu 0.65%
iter 890: loss 1.3862, time 614.02ms, mfu 0.64%
iter 900: loss 1.3710, time 557.64ms, mfu 0.65%
iter 910: loss 1.3200, time 554.47ms, mfu 0.65%
iter 920: loss 1.3665, time 552.39ms, mfu 0.65%
iter 930: loss 1.3580, time 550.55ms, mfu 0.65%
iter 940: loss 1.3510, time 551.02ms, mfu 0.66%
iter 950: loss 1.3477, time 550.32ms, mfu 0.66%
iter 960: loss 1.3628, time 552.87ms, mfu 0.66%
iter 970: loss 1.3555, time 555.06ms, mfu 0.66%
iter 980: loss 1.3578, time 554.02ms, mfu 0.66%
iter 990: loss 1.3403, time 556.46ms, mfu 0.66%
step 1000: train loss 1.2759, val loss 1.5268
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3375, time 59808.98ms, mfu 0.60%
iter 1010: loss 1.3339, time 551.89ms, mfu 0.61%
